,Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
96,2001-05-21,288.35,291.25,200.717,202.173,328.904,332.25
97,2001-05-22,282.75,284.15,196.956,198.845,324.329,327.362
98,2001-05-23,283.85,283.15,199.683,198.89700000000002,330.712,329.62699999999995
99,2001-05-24,283.45,286.05,200.17700000000002,202.442,329.977,332.616
100,2001-05-25,280.65,276.25,198.05900000000003,194.47400000000002,328.246,321.82
101,2001-05-29,276.65,275.75,195.12599999999998,194.519,323.189,323.04400000000004
102,2001-05-30,273.65,271.0,192.60299999999998,190.149,320.133,316.035
103,2001-05-31,266.1,267.5,187.61900000000003,188.752,313.428,315.82099999999997
104,2001-06-01,265.65,265.4,187.143,187.69400000000002,313.822,313.712
105,2001-06-04,266.25,266.5,187.685,187.808,312.573,312.647
106,2001-06-05,266.15,265.7,188.96,188.199,315.12,313.067
107,2001-06-06,266.95,265.5,190.679,189.778,312.624,312.353
108,2001-06-07,266.25,266.1,191.657,192.408,313.9,313.945
109,2001-06-08,267.25,267.0,193.65900000000002,193.53400000000002,314.04200000000003,314.858
110,2001-06-11,272.75,268.5,196.775,195.34400000000002,321.07099999999997,317.86400000000003
111,2001-06-12,267.9,269.9,194.553,195.99200000000002,316.48,317.866
112,2001-06-13,271.8,271.95,197.52900000000002,195.859,317.895,318.07
113,2001-06-14,272.2,272.4,195.546,195.045,319.10900000000004,319.156
114,2001-06-15,274.35,272.2,195.615,193.42,318.087,315.411
115,2001-06-18,271.5,272.0,192.96400000000003,193.93900000000002,315.33099999999996,316.46299999999997
116,2001-06-19,273.95,273.4,195.81799999999998,195.495,319.289,318.834
117,2001-06-20,272.4,271.5,194.989,194.69299999999998,318.97,318.66200000000003
118,2001-06-21,272.65,271.7,194.195,192.63,317.59,318.52299999999997
119,2001-06-22,273.2,273.3,193.06099999999998,193.665,320.281,319.839
120,2001-06-25,273.1,272.9,192.66299999999998,192.93,316.895,317.14099999999996
121,2001-06-26,273.85,274.0,193.766,193.667,317.397,318.235
122,2001-06-27,276.0,274.8,194.421,194.41099999999997,319.444,319.721
123,2001-06-28,271.45,269.5,192.136,191.02599999999998,316.855,319.798
124,2001-06-29,269.9,270.6,192.03099999999998,192.52900000000002,318.466,319.367
125,2001-07-02,269.1,268.35,190.581,189.33900000000003,318.085,317.649
126,2001-07-03,268.6,268.5,190.146,190.832,317.119,317.001
127,2001-07-04,267.6,267.6,190.463,190.53,316.499,316.2
128,2001-07-05,267.55,266.3,190.4,189.672,318.133,316.835
129,2001-07-06,265.2,265.1,189.416,189.02,315.714,315.595
130,2001-07-09,266.85,266.1,185.59099999999998,188.99099999999999,315.426,313.797
131,2001-07-10,267.2,267.45,189.03400000000002,189.493,312.259,312.442
132,2001-07-11,266.55,267.55,188.175,188.988,309.69,310.02299999999997
133,2001-07-12,267.55,266.3,190.363,189.537,313.407,312.375
134,2001-07-13,266.4,266.35,189.947,190.31799999999998,311.76099999999997,312.801
135,2001-07-16,268.0,268.25,191.333,191.47,312.901,313.376
136,2001-07-17,266.85,267.6,191.359,190.938,313.388,314.085
137,2001-07-18,268.1,268.55,191.09099999999998,190.393,312.471,310.822
138,2001-07-19,271.55,270.3,191.09799999999998,190.984,309.529,310.404
139,2001-07-20,270.1,269.7,188.947,188.338,308.509,307.877
140,2001-07-23,269.25,268.7,189.213,189.15900000000002,309.839,309.562
141,2001-07-24,268.9,268.75,189.5,189.394,308.726,307.494
142,2001-07-25,269.25,268.4,189.213,187.889,307.363,304.89599999999996
143,2001-07-26,267.15,267.5,186.81799999999998,187.19400000000002,303.752,304.427
144,2001-07-27,265.85,266.15,186.627,186.497,303.23900000000003,303.305
145,2001-07-30,266.4,266.3,187.315,186.641,304.388,304.1
146,2001-07-31,265.55,265.9,186.168,186.4,303.139,303.366
147,2001-08-01,267.7,267.35,186.967,186.697,303.96299999999997,303.634
148,2001-08-02,268.3,267.0,187.16400000000002,186.84400000000002,304.02299999999997,303.582
149,2001-08-03,267.5,267.85,186.93200000000002,187.50400000000002,303.46,302.48400000000004
150,2001-08-06,267.9,267.2,187.80200000000002,188.275,304.086,303.567
151,2001-08-07,266.7,266.45,188.507,188.012,304.278,303.647
152,2001-08-08,266.5,266.4,188.273,188.202,304.57099999999997,303.832
153,2001-08-09,269.0,270.0,189.29,190.235,303.955,304.91200000000003
154,2001-08-10,273.35,275.8,191.583,193.435,305.76099999999997,308.329
155,2001-08-13,275.1,275.6,193.487,193.59400000000002,306.48400000000004,306.324
156,2001-08-14,274.1,274.5,193.083,193.33700000000002,306.257,306.191
157,2001-08-15,276.35,275.35,192.91400000000002,191.548,304.183,302.416
158,2001-08-16,275.1,275.9,189.63299999999998,191.199,299.673,302.688
159,2001-08-17,276.25,277.45,191.335,192.58,302.309,303.722
160,2001-08-20,277.75,276.65,192.148,191.65200000000002,303.221,303.344
161,2001-08-21,276.95,276.3,191.38299999999998,190.74900000000002,303.075,302.132
162,2001-08-22,277.25,275.85,190.158,189.50900000000001,300.05400000000003,299.284
163,2001-08-23,274.3,274.85,189.893,189.945,301.098,301.041
164,2001-08-24,275.15,272.8,190.442,188.72400000000002,301.105,298.534
165,2001-08-28,271.6,271.05,188.808,187.708,300.11,299.172
166,2001-08-29,272.85,272.85,187.71900000000002,187.91299999999998,299.014,299.671
167,2001-08-30,273.4,272.3,188.357,187.715,300.77,299.659
168,2001-08-31,275.35,273.0,188.57,187.835,300.04400000000004,299.276
169,2001-09-03,273.55,273.35,188.136,187.99900000000002,300.935,301.212
170,2001-09-04,272.25,272.3,188.408,188.247,303.275,304.11
171,2001-09-05,271.7,271.3,188.40599999999998,186.82,306.14099999999996,305.69
172,2001-09-06,272.0,272.05,187.418,187.47799999999998,306.306,305.33099999999996
173,2001-09-07,273.15,273.6,187.926,187.372,305.366,303.73
174,2001-09-10,273.2,271.5,186.167,185.73,302.38,301.466
175,2001-09-11,271.4,287.0,186.42700000000002,196.172,302.733,317.654
176,2001-09-12,279.5,279.0,190.915,190.6,308.66900000000004,307.913
177,2001-09-13,278.5,280.25,189.895,190.97099999999998,306.955,308.952
178,2001-09-14,284.5,285.75,192.81599999999997,193.926,310.92900000000003,310.801
179,2001-09-17,291.0,293.25,197.22099999999998,199.354,312.399,316.343
180,2001-09-18,288.65,289.4,196.829,198.016,313.069,313.95099999999996
181,2001-09-19,289.35,288.1,197.549,196.655,312.473,311.628
182,2001-09-20,288.2,288.5,196.322,196.928,310.962,311.454
183,2001-09-21,291.3,292.5,199.794,200.48,316.803,319.045
184,2001-09-24,289.65,288.2,198.66299999999998,196.61599999999999,317.008,314.526
185,2001-09-25,287.95,288.0,196.983,196.118,313.5,312.195
186,2001-09-26,291.6,291.45,197.628,197.929,316.509,316.45
187,2001-09-27,291.25,289.8,197.525,196.675,315.889,316.031
188,2001-09-28,290.85,293.1,197.77599999999998,199.93200000000002,317.349,321.205
189,2001-10-01,291.65,290.6,197.93,196.391,320.178,317.492
190,2001-10-02,291.1,291.65,196.915,198.132,318.246,317.598
191,2001-10-03,289.95,290.1,197.312,196.545,314.65,315.66900000000004
192,2001-10-04,289.15,290.35,196.36700000000002,196.64700000000002,315.666,317.218
193,2001-10-05,291.6,291.2,197.56099999999998,197.023,317.889,317.384
194,2001-10-08,292.85,291.85,198.475,198.03900000000002,317.453,317.228
195,2001-10-09,291.1,290.0,198.095,197.575,315.795,315.355
196,2001-10-10,286.5,287.15,196.975,197.408,314.145,313.997
197,2001-10-11,282.35,281.85,194.59,195.282,310.172,312.95799999999997
198,2001-10-12,282.85,281.8,195.47299999999998,194.385,312.887,311.89799999999997
199,2001-10-15,283.75,281.85,195.595,194.446,311.745,310.237
200,2001-10-16,281.25,281.1,194.56900000000002,194.398,310.533,310.19599999999997
201,2001-10-17,281.65,281.6,194.80599999999998,194.395,311.663,310.782
202,2001-10-18,282.2,281.0,195.25400000000002,194.53099999999998,312.445,311.013
203,2001-10-19,278.7,279.15,193.354,194.02900000000002,309.563,310.512
204,2001-10-22,277.55,275.9,193.752,193.207,309.07599999999996,308.647
205,2001-10-23,274.9,276.05,193.387,194.155,309.39799999999997,309.82
206,2001-10-24,276.15,275.5,193.206,193.266,309.689,308.995
207,2001-10-25,275.35,276.7,193.16,193.483,309.17400000000004,308.645
208,2001-10-26,276.95,277.25,193.333,193.543,309.961,310.95799999999997
209,2001-10-29,277.7,278.6,191.84799999999998,191.93900000000002,309.07099999999997,308.459
210,2001-10-30,280.2,280.4,192.577,192.31799999999998,309.442,308.471
211,2001-10-31,280.95,278.75,193.093,191.91,310.682,309.51599999999996
212,2001-11-01,279.45,280.6,191.47,191.37900000000002,308.10400000000004,311.086
213,2001-11-02,280.2,279.9,191.132,191.18900000000002,309.613,309.795
214,2001-11-05,278.95,278.25,191.916,191.06599999999997,311.01599999999996,310.443
215,2001-11-06,278.9,278.95,191.329,191.02200000000002,310.579,310.462
216,2001-11-07,280.5,280.3,191.27200000000002,191.54,310.562,311.306
217,2001-11-08,280.2,279.95,191.328,191.747,312.584,312.096
218,2001-11-09,277.3,277.15,191.334,190.08900000000003,311.223,310.185
219,2001-11-12,277.7,280.0,190.72799999999998,192.22799999999998,311.218,311.943
220,2001-11-13,277.65,276.5,191.549,191.708,313.163,313.777
221,2001-11-14,277.55,278.25,193.011,193.296,315.757,315.655
222,2001-11-15,276.05,275.45,192.035,192.15200000000002,312.73400000000004,312.372
223,2001-11-16,275.5,274.5,192.361,192.05200000000002,311.616,310.24
224,2001-11-19,274.2,273.6,192.489,192.96099999999998,311.414,311.192
225,2001-11-20,273.75,272.95,193.19,192.584,310.093,309.29200000000003
226,2001-11-21,273.15,272.8,192.563,192.58700000000002,310.892,311.238
227,2001-11-22,273.2,272.75,193.27900000000002,193.234,311.055,310.472
228,2001-11-23,272.55,273.1,193.435,193.27700000000002,310.068,310.765
229,2001-11-26,273.05,272.6,192.58700000000002,192.718,309.686,309.597
